dataset,variant,hotspot_ranking_path,refinement_plan_path,reranker_artifact_path,guardrail_decision_path,fit_summary_path,artifact_size_bytes,reranker_fit_time_seconds,reranker_apply_time_seconds,delta_runtime_seconds,delta_storage_bytes
PHMap_Lung_Full_v43_light,auto_parent_conditioned_reranker_top8_candidate,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-09_phmap_study_split_validation/artifacts/phase7a_auto_reranker_pipeline/hotspot_ranking.json,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-09_phmap_study_split_validation/artifacts/phase7a_auto_reranker_pipeline/refinement_plan.json,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-09_phmap_study_split_validation/artifacts/phase7a_auto_reranker_pipeline/parent_conditioned_reranker_top6.pkl,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-09_phmap_study_split_validation/artifacts/phase7a_auto_reranker_pipeline/guardrail_decision.json,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-09_phmap_study_split_validation/artifacts/phase7a_auto_reranker_pipeline/per_parent_reranker_summary.csv,8317,,,,
HLCA_Core,auto_parent_conditioned_reranker_top6_first_pass,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-10_hlca_study_split_refinement_validation/artifacts/hlca_auto_reranker_validation/hlca_hotspot_ranking.json,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-10_hlca_study_split_refinement_validation/artifacts/hlca_auto_reranker_validation/hlca_refinement_plan.json,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-10_hlca_study_split_refinement_validation/artifacts/hlca_auto_reranker_validation/hlca_parent_conditioned_reranker_top6.pkl,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-10_hlca_study_split_refinement_validation/artifacts/hlca_auto_reranker_validation/hlca_guardrail_decision.json,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-10_hlca_study_split_refinement_validation/artifacts/hlca_auto_reranker_validation/hlca_per_parent_reranker_summary.csv,7138,6.328308243304491,0.5155127067118883,,
