dataset,stage,track,point,config_name,stdout_log,stderr_log,runtime_fairness_degraded,status,accuracy,macro_f1,balanced_accuracy,optimizer_name,weight_decay,scheduler_name,epochs_completed,last_train_loss,last_val_loss,train_elapsed_seconds,predict_elapsed_seconds,train_process_peak_rss_gb,predict_process_peak_rss_gb,train_gpu_peak_memory_gb,predict_gpu_peak_memory_gb,device_used,num_threads_used,early_stopping_note
HLCA_Core,stage_b,cpu_core,predict_100000_10000,baseline,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/HLCA_Core/benchmark/stage_b/cpu_core/predict_100000_10000/baseline/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/HLCA_Core/benchmark/stage_b/cpu_core/predict_100000_10000/baseline/runs/atlasmtl/stderr.log,True,success,0.8729,0.7662906489828505,0.7536371201334751,adam,0.0,,10,0.076629,0.237157,33.9672,0.0968,5.1076,5.7117,0.0,0.0,cpu,10,stopped_early
HLCA_Core,stage_b,cpu_core,predict_100000_10000,candidate_default,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/HLCA_Core/benchmark/stage_b/cpu_core/predict_100000_10000/candidate_default/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/HLCA_Core/benchmark/stage_b/cpu_core/predict_100000_10000/candidate_default/runs/atlasmtl/stderr.log,True,success,0.8726,0.7523641192843468,0.7493087158225531,adamw,5e-05,,9,0.08908,0.231404,30.7538,0.1135,5.099,5.1846,0.0,0.0,cpu,10,stopped_early
HLCA_Core,stage_b,gpu,build_100000_eval10k,baseline,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/HLCA_Core/benchmark/stage_b/gpu/build_100000_eval10k/baseline/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/HLCA_Core/benchmark/stage_b/gpu/build_100000_eval10k/baseline/runs/atlasmtl/stderr.log,False,success,0.872,0.7483115256785856,0.7336295518894661,adam,0.0,,7,0.026134,0.294553,8.3232,0.0551,5.5747,6.7653,0.0927,0.0444,cuda,10,stopped_early
HLCA_Core,stage_b,gpu,build_100000_eval10k,candidate_default,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/HLCA_Core/benchmark/stage_b/gpu/build_100000_eval10k/candidate_default/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/HLCA_Core/benchmark/stage_b/gpu/build_100000_eval10k/candidate_default/runs/atlasmtl/stderr.log,False,success,0.8673,0.7629308161000861,0.7496617487450721,adamw,5e-05,,7,0.030273,0.282285,8.2276,0.0551,5.5744,6.8279,0.0927,0.0444,cuda,10,stopped_early
HLCA_Core,stage_b,gpu,predict_100000_10000,baseline,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/HLCA_Core/benchmark/stage_b/gpu/predict_100000_10000/baseline/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/HLCA_Core/benchmark/stage_b/gpu/predict_100000_10000/baseline/runs/atlasmtl/stderr.log,False,success,0.8795,0.7756842251331942,0.764104825545401,adam,0.0,,8,0.02047,0.314597,9.5227,0.0553,5.5921,5.9769,0.0858,0.0444,cuda,10,stopped_early
HLCA_Core,stage_b,gpu,predict_100000_10000,candidate_default,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/HLCA_Core/benchmark/stage_b/gpu/predict_100000_10000/candidate_default/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/HLCA_Core/benchmark/stage_b/gpu/predict_100000_10000/candidate_default/runs/atlasmtl/stderr.log,False,success,0.8716,0.7813618479125912,0.7656819416822555,adamw,5e-05,,8,0.019723,0.316155,9.567,0.0633,5.5784,5.9572,0.0852,0.0444,cuda,10,stopped_early
PHMap_Lung_Full_v43_light,stage_b,cpu_core,build_100000_eval10k,baseline,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/PHMap_Lung_Full_v43_light/benchmark/stage_b/cpu_core/build_100000_eval10k/baseline/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/PHMap_Lung_Full_v43_light/benchmark/stage_b/cpu_core/build_100000_eval10k/baseline/runs/atlasmtl/stderr.log,True,success,0.5862,0.6283790081915674,0.6324637982467681,adam,0.0,,10,0.312123,0.526384,33.8741,0.0998,5.3656,5.9701,0.0,0.0,cpu,10,stopped_early
PHMap_Lung_Full_v43_light,stage_b,cpu_core,build_100000_eval10k,candidate_default,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/PHMap_Lung_Full_v43_light/benchmark/stage_b/cpu_core/build_100000_eval10k/candidate_default/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/PHMap_Lung_Full_v43_light/benchmark/stage_b/cpu_core/build_100000_eval10k/candidate_default/runs/atlasmtl/stderr.log,True,success,0.589,0.6266151920863002,0.6424037727213958,adamw,5e-05,,12,0.272518,0.543052,40.8036,0.1179,5.3648,5.494,0.0,0.0,cpu,10,stopped_early
PHMap_Lung_Full_v43_light,stage_b,cpu_core,predict_100000_10000,baseline,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/PHMap_Lung_Full_v43_light/benchmark/stage_b/cpu_core/predict_100000_10000/baseline/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/PHMap_Lung_Full_v43_light/benchmark/stage_b/cpu_core/predict_100000_10000/baseline/runs/atlasmtl/stderr.log,True,success,0.5776,0.6433903442464318,0.6651659433679183,adam,0.0,,11,0.294716,0.532388,37.3159,0.1206,5.366,5.8111,0.0,0.0,cpu,10,stopped_early
PHMap_Lung_Full_v43_light,stage_b,cpu_core,predict_100000_10000,candidate_default,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/PHMap_Lung_Full_v43_light/benchmark/stage_b/cpu_core/predict_100000_10000/candidate_default/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/PHMap_Lung_Full_v43_light/benchmark/stage_b/cpu_core/predict_100000_10000/candidate_default/runs/atlasmtl/stderr.log,True,success,0.573,0.6440831754330631,0.6656038542924023,adamw,5e-05,,10,0.315622,0.523939,34.4298,0.1189,5.3659,5.4546,0.0,0.0,cpu,10,stopped_early
