dataset,stage,track,point,config_name,stdout_log,stderr_log,runtime_fairness_degraded,status,accuracy,macro_f1,balanced_accuracy,optimizer_name,weight_decay,scheduler_name,epochs_completed,last_train_loss,last_val_loss,train_elapsed_seconds,predict_elapsed_seconds,train_process_peak_rss_gb,predict_process_peak_rss_gb,train_gpu_peak_memory_gb,predict_gpu_peak_memory_gb,device_used,num_threads_used,early_stopping_note
mTCA,stage_a,cpu_core,predict_100000_10000,adamw_wd_1e4,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_a/cpu_core/predict_100000_10000/adamw_wd_1e4/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_a/cpu_core/predict_100000_10000/adamw_wd_1e4/runs/atlasmtl/stderr.log,True,success,0.9439,0.8522475511854449,0.8544563068707967,adamw,0.0001,,8,0.078831,0.184074,26.6744,0.1242,5.347,5.5597,0.0,0.0,cpu,10,stopped_early
mTCA,stage_a,cpu_core,predict_100000_10000,adamw_wd_1e5,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_a/cpu_core/predict_100000_10000/adamw_wd_1e5/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_a/cpu_core/predict_100000_10000/adamw_wd_1e5/runs/atlasmtl/stderr.log,True,success,0.9442,0.8691662550662138,0.8678136396454301,adamw,1e-05,,10,0.062501,0.187665,34.0029,0.12,5.3413,6.1928,0.0,0.0,cpu,10,stopped_early
mTCA,stage_a,cpu_core,predict_100000_10000,adamw_wd_5e5,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_a/cpu_core/predict_100000_10000/adamw_wd_5e5/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_a/cpu_core/predict_100000_10000/adamw_wd_5e5/runs/atlasmtl/stderr.log,True,success,0.9413,0.8592508798103133,0.8624187001425394,adamw,5e-05,,10,0.063535,0.18291,34.4206,0.1346,5.3406,5.5796,0.0,0.0,cpu,10,stopped_early
mTCA,stage_a,cpu_core,predict_100000_10000,baseline,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_a/cpu_core/predict_100000_10000/baseline/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_a/cpu_core/predict_100000_10000/baseline/runs/atlasmtl/stderr.log,True,success,0.9406,0.8461667423538781,0.8560260915870196,adam,0.0,,9,0.070234,0.182741,30.1492,0.0942,5.3427,6.3408,0.0,0.0,cpu,10,stopped_early
mTCA,stage_a,gpu,build_100000_eval10k,adamw_bestwd_plateau,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_a/gpu/build_100000_eval10k/adamw_bestwd_plateau/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_a/gpu/build_100000_eval10k/adamw_bestwd_plateau/runs/atlasmtl/stderr.log,False,success,0.9427,0.8691709430503366,0.8628147921282454,adamw,5e-05,reduce_lr_on_plateau,6,0.046238,0.215344,7.1718,0.0554,5.8315,6.2418,0.0923,0.0446,cuda,10,scheduler_without_reduction_visible
mTCA,stage_a,gpu,build_100000_eval10k,adamw_wd_1e4,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_a/gpu/build_100000_eval10k/adamw_wd_1e4/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_a/gpu/build_100000_eval10k/adamw_wd_1e4/runs/atlasmtl/stderr.log,False,success,0.9388,0.8506755137554861,0.8532060703622879,adamw,0.0001,,7,0.035126,0.229824,8.3452,0.0561,5.823,6.1841,0.0852,0.0443,cuda,10,stopped_early
mTCA,stage_a,gpu,build_100000_eval10k,adamw_wd_1e5,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_a/gpu/build_100000_eval10k/adamw_wd_1e5/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_a/gpu/build_100000_eval10k/adamw_wd_1e5/runs/atlasmtl/stderr.log,False,success,0.9404,0.8509300275964057,0.8534499621724961,adamw,1e-05,,8,0.02271,0.254013,9.5825,0.0562,5.8447,6.4147,0.0923,0.0446,cuda,10,stopped_early
mTCA,stage_a,gpu,build_100000_eval10k,adamw_wd_5e5,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_a/gpu/build_100000_eval10k/adamw_wd_5e5/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_a/gpu/build_100000_eval10k/adamw_wd_5e5/runs/atlasmtl/stderr.log,False,success,0.9421,0.880368399642289,0.8774639582825251,adamw,5e-05,,8,0.02534,0.263978,9.6293,0.0555,5.8471,6.2346,0.0852,0.0446,cuda,10,stopped_early
mTCA,stage_a,gpu,build_100000_eval10k,baseline,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_a/gpu/build_100000_eval10k/baseline/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_a/gpu/build_100000_eval10k/baseline/runs/atlasmtl/stderr.log,False,success,0.9398,0.8377804247787346,0.8405272851035775,adam,0.0,,7,0.032295,0.23048,8.2829,0.0552,5.8362,6.1718,0.0923,0.0443,cuda,10,stopped_early
mTCA,stage_a,gpu,predict_100000_10000,adamw_bestwd_plateau,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_a/gpu/predict_100000_10000/adamw_bestwd_plateau/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_a/gpu/predict_100000_10000/adamw_bestwd_plateau/runs/atlasmtl/stderr.log,False,success,0.9414,0.8690950423813181,0.8652454111872487,adamw,5e-05,reduce_lr_on_plateau,8,0.024993,0.26964,9.5938,0.0684,5.8183,6.2377,0.0923,0.0446,cuda,10,scheduler_without_reduction_visible
mTCA,stage_a,gpu,predict_100000_10000,adamw_wd_1e4,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_a/gpu/predict_100000_10000/adamw_wd_1e4/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_a/gpu/predict_100000_10000/adamw_wd_1e4/runs/atlasmtl/stderr.log,False,success,0.9419,0.860606386531304,0.8685820295430432,adamw,0.0001,,7,0.031205,0.234354,8.2642,0.0858,5.8196,6.2114,0.0852,0.0443,cuda,10,stopped_early
mTCA,stage_a,gpu,predict_100000_10000,adamw_wd_1e5,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_a/gpu/predict_100000_10000/adamw_wd_1e5/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_a/gpu/predict_100000_10000/adamw_wd_1e5/runs/atlasmtl/stderr.log,False,success,0.9421,0.8515470801569736,0.8479532845469457,adamw,1e-05,,6,0.049865,0.213525,7.1726,0.0548,5.7812,6.2135,0.0855,0.0446,cuda,10,stopped_early
mTCA,stage_a,gpu,predict_100000_10000,adamw_wd_5e5,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_a/gpu/predict_100000_10000/adamw_wd_5e5/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_a/gpu/predict_100000_10000/adamw_wd_5e5/runs/atlasmtl/stderr.log,False,success,0.9409,0.8403605133354554,0.8467910315170161,adamw,5e-05,,7,0.033149,0.246641,8.366,0.0728,5.831,6.1594,0.0923,0.0443,cuda,10,stopped_early
mTCA,stage_a,gpu,predict_100000_10000,baseline,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_a/gpu/predict_100000_10000/baseline/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/atlasmtl_low_cost_optimization/mTCA/benchmark/stage_a/gpu/predict_100000_10000/baseline/runs/atlasmtl/stderr.log,False,success,0.9382,0.8514604006592998,0.8520312495694876,adam,0.0,,7,0.031799,0.24089,8.2754,0.0553,5.7972,6.156,0.0923,0.0443,cuda,10,stopped_early
