dataset,track,point,scope,display_policy,notes,old_accuracy,old_macro_f1,old_balanced_accuracy,old_risk,old_train_elapsed_seconds,old_predict_elapsed_seconds,old_train_process_peak_rss_gb,old_predict_process_peak_rss_gb,old_train_gpu_peak_memory_gb,old_predict_gpu_peak_memory_gb,baseline_snapshot_source,resource_snapshot_source,scope_map_source
PHMap_Lung_Full_v43_light,gpu,build_100000_eval10k,main,headline,,0.5904,0.6510108191264689,0.6703135017397137,0.3316730812768848,9.6157,0.0577,5.857,6.5884,0.0926,0.0447,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv
PHMap_Lung_Full_v43_light,gpu,predict_100000_10000,main,headline,,0.5791,0.6505651076532692,0.668168591509851,0.3557681610857715,9.5201,0.0563,5.8058,6.174,0.0855,0.0447,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv
Vento,cpu_core,build_50000_eval10k,supplementary,supplementary,,0.9235,0.8964943789979851,0.8693108687135889,0.0722322684348001,14.1481,0.1201,3.1602,3.6444,0.0,0.0,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv
Vento,cpu_core,predict_50000_10000,supplementary,supplementary,,0.9231,0.905589599517804,0.8860952015016605,0.0749574105621805,17.5694,0.1128,3.1589,3.6279,0.0,0.0,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv
Vento,gpu,build_50000_eval10k,supplementary,supplementary,,0.9269,0.9132534466003164,0.8947072109730985,0.0708700882117081,4.0698,0.0825,3.5932,4.0621,0.0843,0.0444,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv
Vento,gpu,predict_50000_10000,supplementary,supplementary,,0.9251,0.908030507988946,0.891748537941879,0.0729532017236196,4.6618,0.0556,3.6001,4.235,0.0849,0.0444,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv
mTCA,cpu_core,build_100000_eval10k,main,headline,,0.9394,0.840301766459052,0.8418226672647693,0.0551196942265137,27.0559,0.1249,5.3453,6.2585,0.0,0.0,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv
mTCA,cpu_core,predict_100000_10000,main,headline,,0.9447,0.8740905727768017,0.8705281320498788,0.0514107842152826,33.3265,0.1098,5.3412,5.4758,0.0,0.0,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv
mTCA,gpu,build_100000_eval10k,main,headline,,0.9407,0.8412067538410519,0.8441335772137842,0.053336016906511,8.1451,0.0554,5.8342,6.1656,0.0923,0.0443,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv
mTCA,gpu,predict_100000_10000,main,headline,,0.9407,0.8522576878700159,0.8539916685751371,0.0540975364504776,8.2364,0.0563,5.8448,6.1683,0.0846,0.0443,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv
