dataset,track,point,scope,display_policy,notes,old_accuracy,old_macro_f1,old_balanced_accuracy,old_risk,old_train_elapsed_seconds,old_predict_elapsed_seconds,old_train_process_peak_rss_gb,old_predict_process_peak_rss_gb,old_train_gpu_peak_memory_gb,old_predict_gpu_peak_memory_gb,baseline_snapshot_source,resource_snapshot_source,scope_map_source,config_name,stdout_log,stderr_log,runtime_fairness_degraded,status,new_accuracy,new_macro_f1,new_balanced_accuracy,new_risk,new_train_elapsed_seconds,new_predict_elapsed_seconds,new_train_process_peak_rss_gb,new_predict_process_peak_rss_gb,new_train_gpu_peak_memory_gb,new_predict_gpu_peak_memory_gb,device_used,num_threads_used,delta_accuracy,delta_macro_f1,delta_balanced_accuracy,delta_risk,delta_train_elapsed_seconds,delta_predict_elapsed_seconds,delta_train_process_peak_rss_gb,delta_predict_process_peak_rss_gb,delta_train_gpu_peak_memory_gb,delta_predict_gpu_peak_memory_gb
PHMap_Lung_Full_v43_light,gpu,build_100000_eval10k,main,headline,,0.5904,0.6510108191264689,0.6703135017397137,0.3316730812768848,9.6157,0.0577,5.857,6.5884,0.0926,0.0447,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv,atlasmtl_refreshed_default,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/PHMap_Lung_Full_v43_light/benchmark/gpu/build_100000_eval10k/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/PHMap_Lung_Full_v43_light/benchmark/gpu/build_100000_eval10k/runs/atlasmtl/stderr.log,False,success,0.5817,0.6323353143741012,0.6326026484306009,,8.3429,0.1094,5.8482,7.107,0.0926,0.045,cuda,10,-0.008700000000000041,-0.018675504752367678,-0.037710853309112835,,-1.2728000000000002,0.051699999999999996,-0.008799999999999919,0.5186000000000002,0.0,0.00030000000000000165
PHMap_Lung_Full_v43_light,gpu,predict_100000_10000,main,headline,,0.5791,0.6505651076532692,0.668168591509851,0.3557681610857715,9.5201,0.0563,5.8058,6.174,0.0855,0.0447,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv,atlasmtl_refreshed_default,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/PHMap_Lung_Full_v43_light/benchmark/gpu/predict_100000_10000/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/PHMap_Lung_Full_v43_light/benchmark/gpu/predict_100000_10000/runs/atlasmtl/stderr.log,False,success,0.5788,0.6555916691675614,0.6684802194206962,,8.126,0.0724,5.8122,6.9518,0.0926,0.0444,cuda,10,-0.00029999999999996696,0.005026561514292149,0.0003116279108452691,,-1.3941,0.016100000000000003,0.006400000000000183,0.7778,0.007099999999999995,-0.0002999999999999947
Vento,cpu_core,build_50000_eval10k,supplementary,supplementary,,0.9235,0.8964943789979851,0.8693108687135889,0.0722322684348001,14.1481,0.1201,3.1602,3.6444,0.0,0.0,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv,atlasmtl_refreshed_default,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/Vento/benchmark/cpu_core/build_50000_eval10k/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/Vento/benchmark/cpu_core/build_50000_eval10k/runs/atlasmtl/stderr.log,False,success,0.9268,0.910743442487699,0.8925373064416275,,17.1043,0.1185,3.1606,3.2227,0.0,0.0,cpu,10,0.0032999999999999696,0.014249063489713887,0.023226437728038674,,2.956199999999999,-0.0016000000000000042,0.00039999999999995595,-0.42169999999999996,0.0,0.0
Vento,cpu_core,predict_50000_10000,supplementary,supplementary,,0.9231,0.905589599517804,0.8860952015016605,0.0749574105621805,17.5694,0.1128,3.1589,3.6279,0.0,0.0,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv,atlasmtl_refreshed_default,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/Vento/benchmark/cpu_core/predict_50000_10000/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/Vento/benchmark/cpu_core/predict_50000_10000/runs/atlasmtl/stderr.log,False,success,0.9266,0.9084876759187057,0.8913491012584593,,20.1594,0.1179,3.1605,3.435,0.0,0.0,cpu,10,0.0034999999999999476,0.0028980764009016724,0.005253899756798797,,2.59,0.005100000000000007,0.0015999999999998238,-0.19289999999999985,0.0,0.0
Vento,gpu,build_50000_eval10k,supplementary,supplementary,,0.9269,0.9132534466003164,0.8947072109730985,0.0708700882117081,4.0698,0.0825,3.5932,4.0621,0.0843,0.0444,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv,atlasmtl_refreshed_default,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/Vento/benchmark/gpu/build_50000_eval10k/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/Vento/benchmark/gpu/build_50000_eval10k/runs/atlasmtl/stderr.log,False,success,0.9232,0.9165527729572829,0.903034184248676,,4.1375,0.0768,3.5845,3.7636,0.0846,0.0444,cuda,10,-0.0036999999999999256,0.0032993263569665032,0.00832697327557752,,0.06770000000000032,-0.005700000000000011,-0.008700000000000152,-0.2985000000000002,0.0002999999999999947,0.0
Vento,gpu,predict_50000_10000,supplementary,supplementary,,0.9251,0.908030507988946,0.891748537941879,0.0729532017236196,4.6618,0.0556,3.6001,4.235,0.0849,0.0444,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv,atlasmtl_refreshed_default,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/Vento/benchmark/gpu/predict_50000_10000/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/Vento/benchmark/gpu/predict_50000_10000/runs/atlasmtl/stderr.log,False,success,0.9215,0.8761290504015902,0.8599619832962355,,4.0795,0.055,3.5904,4.0873,0.0923,0.0444,cuda,10,-0.0036000000000000476,-0.03190145758735585,-0.031786554645643506,,-0.5823,-0.0005999999999999964,-0.009700000000000042,-0.1477000000000004,0.00739999999999999,0.0
mTCA,cpu_core,build_100000_eval10k,main,headline,,0.9394,0.840301766459052,0.8418226672647693,0.0551196942265137,27.0559,0.1249,5.3453,6.2585,0.0,0.0,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv,atlasmtl_refreshed_default,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/mTCA/benchmark/cpu_core/build_100000_eval10k/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/mTCA/benchmark/cpu_core/build_100000_eval10k/runs/atlasmtl/stderr.log,False,success,0.9391,0.8447421544779437,0.8443222921239053,,27.3697,0.0973,5.3498,6.449,0.0,0.0,cpu,10,-0.00029999999999996696,0.004440388018891683,0.002499624859136018,,0.3138000000000005,-0.0276,0.0045000000000001705,0.1905000000000001,0.0,0.0
mTCA,cpu_core,predict_100000_10000,main,headline,,0.9447,0.8740905727768017,0.8705281320498788,0.0514107842152826,33.3265,0.1098,5.3412,5.4758,0.0,0.0,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv,atlasmtl_refreshed_default,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/mTCA/benchmark/cpu_core/predict_100000_10000/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/mTCA/benchmark/cpu_core/predict_100000_10000/runs/atlasmtl/stderr.log,False,success,0.945,0.8647472625934345,0.8639818732977165,,27.1909,0.0907,5.3478,6.4342,0.0,0.0,cpu,10,0.00029999999999996696,-0.009343310183367204,-0.006546258752162304,,-6.135600000000004,-0.019099999999999992,0.006600000000000605,0.9584000000000001,0.0,0.0
mTCA,gpu,build_100000_eval10k,main,headline,,0.9407,0.8412067538410519,0.8441335772137842,0.053336016906511,8.1451,0.0554,5.8342,6.1656,0.0923,0.0443,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv,atlasmtl_refreshed_default,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/mTCA/benchmark/gpu/build_100000_eval10k/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/mTCA/benchmark/gpu/build_100000_eval10k/runs/atlasmtl/stderr.log,False,success,0.9394,0.8435162994039769,0.8477635003191368,,9.535,0.0702,5.8368,6.2258,0.0852,0.0446,cuda,10,-0.0012999999999999678,0.002309545562924953,0.003629923105352595,,1.3899000000000008,0.0148,0.0026000000000001577,0.06019999999999914,-0.007099999999999995,0.00030000000000000165
mTCA,gpu,predict_100000_10000,main,headline,,0.9407,0.8522576878700159,0.8539916685751371,0.0540975364504776,8.2364,0.0563,5.8448,6.1683,0.0846,0.0443,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_performance_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_comparative_resource_snapshot_2026-03-09.csv,/home/data/fhz/project/phmap_package/atlasmtl/documents/experiments/2026-03-06_formal_third_wave_scaling/results_summary/formal_result_scope_map_2026-03-09.csv,atlasmtl_refreshed_default,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/mTCA/benchmark/gpu/predict_100000_10000/runs/atlasmtl/stdout.log,/tmp/atlasmtl_benchmarks/2026-03-09/formal_atlasmtl_refresh/mTCA/benchmark/gpu/predict_100000_10000/runs/atlasmtl/stderr.log,False,success,0.9391,0.8316405800407062,0.8389099793517268,,8.1743,0.0547,5.8282,6.1604,0.0923,0.0443,cuda,10,-0.0015999999999999348,-0.0206171078293097,-0.015081689223410244,,-0.062099999999999156,-0.0016000000000000042,-0.016600000000000392,-0.00790000000000024,0.0076999999999999985,0.0
