scope,dataset,track,point,method,train_elapsed_seconds,predict_elapsed_seconds,train_process_peak_rss_gb,predict_process_peak_rss_gb,train_gpu_peak_memory_gb,predict_gpu_peak_memory_gb,train_items_per_second,predict_items_per_second
main,mTCA,cpu_core,predict_100000_10000,symphony,65.1167,65.1167,6.7271,6.7271,0.0,0.0,153.5704,153.5704
main,mTCA,gpu,predict_100000_10000,atlasmtl,8.2364,0.0563,5.8448,6.1683,0.0846,0.0443,76489.643,177527.1023
main,mTCA,gpu,predict_100000_10000,scanvi,294.2108,14.6579,3.9051,3.9066,0.1497,0.1289,339.8923,682.2249
main,DISCO_hPBMCs,cpu_core,build_100000_eval10k,atlasmtl,27.1112,0.1161,5.2408,5.5647,0.0,0.0,26557.2685,86165.711
main,DISCO_hPBMCs,cpu_core,build_100000_eval10k,reference_knn,2.4279,19.0735,4.6682,4.6682,0.0,0.0,41187.1197,524.2881
main,DISCO_hPBMCs,cpu_core,build_100000_eval10k,celltypist,0.001,0.3404,1.015,1.3002,0.0,0.0,991.9524,29377.7699
main,DISCO_hPBMCs,cpu_core,build_100000_eval10k,singler,1301.0994,1301.0994,2.267,2.267,0.0,0.0,7.6858,7.6858
main,DISCO_hPBMCs,cpu_core,build_100000_eval10k,symphony,70.1376,70.1376,6.5353,6.5353,0.0,0.0,142.5769,142.5769
main,DISCO_hPBMCs,gpu,build_100000_eval10k,atlasmtl,9.5788,0.0552,5.723,6.4312,0.0922,0.0446,75165.8216,181246.4823
main,DISCO_hPBMCs,gpu,build_100000_eval10k,scanvi,301.3191,11.5317,3.8004,3.8019,0.141,0.1236,331.8741,867.1712
supplementary,DISCO_hPBMCs,cpu_seurat,build_50000_eval10k,seurat_anchor_transfer,4134.3753,4134.3753,39.3914,39.3914,0.0,0.0,2.4187,2.4187
main,DISCO_hPBMCs,cpu_core,predict_100000_10000,atlasmtl,33.9543,0.1334,5.2435,6.1145,0.0,0.0,26506.2146,74984.1288
main,DISCO_hPBMCs,cpu_core,predict_100000_10000,reference_knn,2.3191,19.0579,4.6681,4.6681,0.0,0.0,43120.8753,524.7168
main,DISCO_hPBMCs,cpu_core,predict_100000_10000,celltypist,0.001,0.3403,1.0146,1.3006,0.0,0.0,959.4631,29381.9758
main,DISCO_hPBMCs,cpu_core,predict_100000_10000,singler,1302.1914,1302.1914,2.2796,2.2796,0.0,0.0,7.6794,7.6794
main,DISCO_hPBMCs,cpu_core,predict_100000_10000,symphony,68.9238,68.9238,6.538,6.538,0.0,0.0,145.0877,145.0877
main,DISCO_hPBMCs,gpu,predict_100000_10000,atlasmtl,9.4562,0.0547,5.718,6.5062,0.0922,0.0446,76140.2071,182825.7556
main,DISCO_hPBMCs,gpu,predict_100000_10000,scanvi,300.3289,14.7426,3.7937,3.7959,0.1414,0.1236,332.9683,678.3042
supplementary,Vento,cpu_core,build_50000_eval10k,atlasmtl,14.1481,0.1201,3.1602,3.6444,0.0,0.0,28625.7185,83253.9464
supplementary,Vento,cpu_core,build_50000_eval10k,reference_knn,1.2173,9.6228,2.784,2.784,0.0,0.0,41073.3572,1039.2014
supplementary,Vento,cpu_core,build_50000_eval10k,celltypist,0.0013,0.3646,1.0113,1.314,0.0,0.0,762.48,27430.0414
supplementary,Vento,cpu_core,build_50000_eval10k,singler,465.1747,465.1747,1.6669,1.6669,0.0,0.0,21.4973,21.4973
supplementary,Vento,cpu_core,build_50000_eval10k,symphony,38.3001,38.3001,3.908,3.908,0.0,0.0,261.0958,261.0958
supplementary,Vento,gpu,build_50000_eval10k,atlasmtl,4.0698,0.0825,3.5932,4.0621,0.0843,0.0444,77398.8328,121230.5561
supplementary,Vento,gpu,build_50000_eval10k,scanvi,155.4339,14.7005,2.8837,2.8837,0.1459,0.1259,321.6801,680.249
supplementary,Vento,cpu_seurat,build_50000_eval10k,seurat_anchor_transfer,1224.1953,1224.1953,20.255,20.255,0.0,0.0,8.1686,8.1686
supplementary,Vento,cpu_core,predict_50000_10000,atlasmtl,17.5694,0.1128,3.1589,3.6279,0.0,0.0,28174.0258,88627.6049
supplementary,Vento,cpu_core,predict_50000_10000,reference_knn,1.2168,9.6775,2.7845,2.7845,0.0,0.0,41091.3569,1033.327
supplementary,Vento,cpu_core,predict_50000_10000,celltypist,0.0012,0.3562,1.0113,1.3088,0.0,0.0,820.901,28071.2243
supplementary,Vento,cpu_core,predict_50000_10000,singler,458.9092,458.9092,1.6652,1.6652,0.0,0.0,21.7908,21.7908
supplementary,Vento,cpu_core,predict_50000_10000,symphony,37.9084,37.9084,3.9075,3.9075,0.0,0.0,263.7938,263.7938
supplementary,Vento,gpu,predict_50000_10000,atlasmtl,4.6618,0.0556,3.6001,4.235,0.0849,0.0444,77223.8644,179999.0572
supplementary,Vento,gpu,predict_50000_10000,scanvi,152.0168,14.8277,2.8867,2.8867,0.1459,0.1259,328.911,674.4121
supplementary,Vento,cpu_seurat,predict_50000_10000,seurat_anchor_transfer,1207.664,1207.664,20.9697,20.9697,0.0,0.0,8.2804,8.2804
